departamento,provincia,candidato,partido,votos
AMAZONAS,CONDORCANQUI,RONALD DARWIN ATENCIO SOTOMAYOR,ALIANZA ELECTORAL VENCEREMOS,165
AMAZONAS,CONDORCANQUI,RAFAEL BERNARDO LÓPEZ ALIAGA CAZORLA,RENOVACIÓN POPULAR,146
AMAZONAS,CONDORCANQUI,HERBERT CALLER GUTIERREZ,PARTIDO PATRIÓTICO DEL PERÚ,136
AMAZONAS,CONDORCANQUI,ROBERTO ENRIQUE CHIABRA LEON,UNIDAD NACIONAL,104
AMAZONAS,CONDORCANQUI,VLADIMIR ROY CERRON ROJAS,PARTIDO POLÍTICO NACIONAL PERÚ LIBRE,85
AMAZONAS,CONDORCANQUI,CARLOS GONSALO ALVAREZ LOAYZA,PARTIDO PAÍS PARA TODOS,64
AMAZONAS,CONDORCANQUI,JOSE DANIEL WILLIAMS ZAPATA,AVANZA PAÍS - PARTIDO DE INTEGRACIÓN SOCIAL,51
AMAZONAS,CONDORCANQUI,LUIS FERNANDO OLIVERA VEGA,PARTIDO FRENTE DE LA ESPERANZA 2021,49
AMAZONAS,CONDORCANQUI,MARIA SOLEDAD PEREZ TELLO,"PRIMERO LA GENTE – COMUNIDAD, ECOLOGÍA, LIBERTAD Y PROGRESO",49
AMAZONAS,CONDORCANQUI,ALEX GONZALES CASTILLO,PARTIDO DEMÓCRATA VERDE,45
AMAZONAS,CONDORCANQUI,JORGE NIETO MONTESINOS,PARTIDO DEL BUEN GOBIERNO,45
AMAZONAS,CONDORCANQUI,ALFONSO CARLOS ESPA Y GARCES-ALVEAR,PARTIDO SICREO,39
AMAZONAS,CONDORCANQUI,CHARLIE CARRASCO SALAZAR,PARTIDO DEMÓCRATA UNIDO PERÚ,35
AMAZONAS,CONDORCANQUI,PAUL DAVIS JAIMES BLANCO,PROGRESEMOS,30
AMAZONAS,CONDORCANQUI,YONHY LESCANO ANCIETA,PARTIDO POLÍTICO COOPERACIÓN POPULAR,30
AMAZONAS,CONDORCANQUI,ARMANDO JOAQUIN MASSE FERNANDEZ,PARTIDO DEMOCRATICO FEDERAL,28
AMAZONAS,CONDORCANQUI,MESIAS ANTONIO GUEVARA AMASIFUEN,PARTIDO MORADO,26
