departamento,provincia,candidato,partido,votos,avance_pct,votos_estimados,votos_restantes,total_region,pct_region_actual,pct_region_proyectado
AMAZONAS,BONGARÁ,ARMANDO JOAQUIN MASSE FERNANDEZ,PARTIDO DEMOCRATICO FEDERAL,20,100.0,20.0,0.0,215517.0175998866,0.009280009635772968,0.009280009635772968
AMAZONAS,BONGARÁ,ROBERTO ENRIQUE CHIABRA LEON,UNIDAD NACIONAL,20,100.0,20.0,0.0,215517.0175998866,0.009280009635772968,0.009280009635772968
AMAZONAS,BONGARÁ,PAUL DAVIS JAIMES BLANCO,PROGRESEMOS,18,100.0,18.0,0.0,215517.0175998866,0.008352008672195672,0.008352008672195672
AMAZONAS,BONGARÁ,ALVARO GONZALO PAZ DE LA BARRA FREIGEIRO,FE EN EL PERÚ,15,100.0,15.0,0.0,215517.0175998866,0.006960007226829726,0.006960007226829726
AMAZONAS,BONGARÁ,ANTONIO ORTIZ VILLANO,SALVEMOS AL PERÚ,15,100.0,15.0,0.0,215517.0175998866,0.006960007226829726,0.006960007226829726
AMAZONAS,BONGARÁ,RAFAEL JORGE BELAUNDE LLOSA,LIBERTAD POPULAR,13,100.0,13.0,0.0,215517.0175998866,0.00603200626325243,0.00603200626325243
AMAZONAS,BONGARÁ,WALTER GILMER CHIRINOS PURIZAGA,PARTIDO POLÍTICO PRIN,10,100.0,10.0,0.0,215517.0175998866,0.004640004817886484,0.004640004817886484
AMAZONAS,BONGARÁ,NAPOLEON BECERRA GARCIA,PARTIDO DE LOS TRABAJADORES Y EMPRENDEDORES PTE - PERÚ,4,100.0,4.0,0.0,215517.0175998866,0.0018560019271545937,0.0018560019271545937
AMAZONAS,BONGARÁ,CARLOS ERNESTO JAICO CARRANZA,PERÚ MODERNO,2,100.0,2.0,0.0,215517.0175998866,0.0009280009635772968,0.0009280009635772968
AMAZONAS,CHACHAPOYAS,KEIKO SOFIA FUJIMORI HIGUCHI,FUERZA POPULAR,4251,90.588,4692.674526427342,441.67452642734224,215517.0175998866,1.9724660480835443,2.1774032411396043
AMAZONAS,CHACHAPOYAS,,VOTOS EN BLANCO,4085,90.588,4509.42729721376,424.42729721375963,215517.0175998866,1.8954419681066286,2.092376438498067
AMAZONAS,CHACHAPOYAS,ROBERTO HELBERT SANCHEZ PALOMINO,JUNTOS POR EL PERÚ,3893,90.588,4297.478694749857,404.4786947498569,215517.0175998866,1.806353875603208,1.9940321848403855
AMAZONAS,CHACHAPOYAS,RICARDO PABLO BELMONT CASSINELLI,PARTIDO CÍVICO OBRAS,2735,90.588,3019.163686139445,284.16368613944496,215517.0175998866,1.2690413176919535,1.400893404967494
AMAZONAS,CHACHAPOYAS,PABLO ALFONSO LOPEZ CHAU NAVA,AHORA NACIÓN - AN,2553,90.588,2818.254073387204,265.2540733872038,215517.0175998866,1.1845932300064195,1.3076712478544834
AMAZONAS,CHACHAPOYAS,JORGE NIETO MONTESINOS,PARTIDO DEL BUEN GOBIERNO,2124,90.588,2344.6814147569216,220.68141475692164,215517.0175998866,0.9855370233190892,1.0879333060881013
AMAZONAS,CHACHAPOYAS,,VOTOS NULOS,1946,90.588,2148.1873978893454,202.18739788934545,215517.0175998866,0.9029449375607098,0.9967599875929591
AMAZONAS,CHACHAPOYAS,RAFAEL BERNARDO LÓPEZ ALIAGA CAZORLA,RENOVACIÓN POPULAR,1482,90.588,1635.9782752682477,153.97827526824767,215517.0175998866,0.6876487140107769,0.7590947079202289
AMAZONAS,CHACHAPOYAS,MARIA SOLEDAD PEREZ TELLO,"PRIMERO LA GENTE – COMUNIDAD, ECOLOGÍA, LIBERTAD Y PROGRESO",1014,90.588,1119.3535567624851,105.35355676248514,215517.0175998866,0.47049648853368947,0.5193805896296303
AMAZONAS,CHACHAPOYAS,CARLOS GONSALO ALVAREZ LOAYZA,PARTIDO PAÍS PARA TODOS,786,90.588,867.664591336601,81.664591336601,215517.0175998866,0.36470437868587763,0.4025967884111336
AMAZONAS,CHACHAPOYAS,GEORGE PATRICK FORSYTH SOMMER,PARTIDO DEMOCRÁTICO SOMOS PERÚ,732,90.588,808.0540468936284,76.05404689362842,215517.0175998866,0.3396483526692906,0.37493746706991066
AMAZONAS,CHACHAPOYAS,ALFONSO CARLOS ESPA Y GARCES-ALVEAR,PARTIDO SICREO,634,90.588,699.8719477193448,65.8719477193448,215517.0175998866,0.2941763054540031,0.32474092093213575
AMAZONAS,CHACHAPOYAS,CESAR ACUÑA PERALTA,ALIANZA PARA EL PROGRESO,396,90.588,437.14399258179895,41.143992581798955,215517.0175998866,0.18374419078830476,0.20283502316896804
AMAZONAS,CHACHAPOYAS,RONALD DARWIN ATENCIO SOTOMAYOR,ALIANZA ELECTORAL VENCEREMOS,342,90.588,377.5334481388264,35.53344813882637,215517.0175998866,0.15868816477171774,0.17517570182774514
AMAZONAS,CHACHAPOYAS,PITTER ENRIQUE VALDERRAMA PEÑA,PARTIDO APRISTA PERUANO,279,90.588,307.9878129553584,28.98781295535838,215517.0175998866,0.12945613441903292,0.1429064935963184
AMAZONAS,CHACHAPOYAS,LUIS FERNANDO OLIVERA VEGA,PARTIDO FRENTE DE LA ESPERANZA 2021,250,90.588,275.97474279153977,25.974742791539768,215517.0175998866,0.1160001204471621,0.12805241361677278
AMAZONAS,CHACHAPOYAS,JOSE LEON LUNA GALVEZ,PODEMOS PERÚ,234,90.588,258.3123592528812,24.31235925288121,215517.0175998866,0.10857611273854373,0.1198570591452993
AMAZONAS,CHACHAPOYAS,HERBERT CALLER GUTIERREZ,PARTIDO PATRIÓTICO DEL PERÚ,216,90.588,238.44217777189033,22.44217777189033,215517.0175998866,0.10022410406634805,0.11063728536489165
AMAZONAS,CHACHAPOYAS,VLADIMIR ROY CERRON ROJAS,PARTIDO POLÍTICO NACIONAL PERÚ LIBRE,177,90.588,195.39011789641015,18.390117896410146,215517.0175998866,0.08212808527659077,0.09066110884067512
AMAZONAS,CHACHAPOYAS,MARIO ENRIQUE VIZCARRA CORNEJO,PARTIDO POLÍTICO PERÚ PRIMERO,173,90.588,190.9745220117455,17.974522011745506,215517.0175998866,0.08027208334943617,0.08861227022280675
AMAZONAS,CHACHAPOYAS,YONHY LESCANO ANCIETA,PARTIDO POLÍTICO COOPERACIÓN POPULAR,169,90.588,186.55892612708087,17.558926127080866,215517.0175998866,0.07841608142228158,0.08656343160493839
