departamento,provincia,candidato,partido,votos,actas_total,actas_procesadas,avance_pct,votos_validos_prov,votos_estimados,votos_restantes
AMAZONAS,CHACHAPOYAS,FIORELLA GIANNINA MOLINELLI ARISTONDO,FUERZA Y LIBERTAD,39,170,154,90.588,23274,43.052059875480204,4.052059875480204
AMAZONAS,CHACHAPOYAS,WALTER GILMER CHIRINOS PURIZAGA,PARTIDO POLÍTICO PRIN,26,170,154,90.588,23274,28.701373250320135,2.7013732503201346
AMAZONAS,CHACHAPOYAS,JOSE DANIEL WILLIAMS ZAPATA,AVANZA PAÍS - PARTIDO DE INTEGRACIÓN SOCIAL,25,170,154,90.588,23274,27.597474279153975,2.5974742791539747
AMAZONAS,CHACHAPOYAS,ALVARO GONZALO PAZ DE LA BARRA FREIGEIRO,FE EN EL PERÚ,24,170,154,90.588,23274,26.493575307987815,2.4935753079878147
AMAZONAS,CHACHAPOYAS,ANTONIO ORTIZ VILLANO,SALVEMOS AL PERÚ,21,170,154,90.588,23274,23.18187839448934,2.1818783944893383
AMAZONAS,CHACHAPOYAS,NAPOLEON BECERRA GARCIA,PARTIDO DE LOS TRABAJADORES Y EMPRENDEDORES PTE - PERÚ,14,170,154,90.588,23274,15.454585596326226,1.4545855963262255
AMAZONAS,CHACHAPOYAS,CARLOS ERNESTO JAICO CARRANZA,PERÚ MODERNO,12,170,154,90.588,23274,13.246787653993907,1.2467876539939073
AMAZONAS,CONDORCANQUI,ROBERTO HELBERT SANCHEZ PALOMINO,JUNTOS POR EL PERÚ,9495,174,150,86.207,13251,11014.186782975861,1519.1867829758612
AMAZONAS,CONDORCANQUI,,VOTOS EN BLANCO,3360,174,150,86.207,13251,3897.595322885613,537.5953228856129
AMAZONAS,CONDORCANQUI,,VOTOS NULOS,1211,174,150,86.207,13251,1404.758314290023,193.758314290023
AMAZONAS,CONDORCANQUI,JOSE LEON LUNA GALVEZ,PODEMOS PERÚ,649,174,150,86.207,13251,752.8390965930842,103.83909659308415
AMAZONAS,CONDORCANQUI,KEIKO SOFIA FUJIMORI HIGUCHI,FUERZA POPULAR,559,174,150,86.207,13251,648.4392218729338,89.43922187293379
AMAZONAS,CONDORCANQUI,RICARDO PABLO BELMONT CASSINELLI,PARTIDO CÍVICO OBRAS,369,174,150,86.207,13251,428.03948635261645,59.03948635261645
AMAZONAS,CONDORCANQUI,GEORGE PATRICK FORSYTH SOMMER,PARTIDO DEMOCRÁTICO SOMOS PERÚ,353,174,150,86.207,13251,409.4795086245897,56.4795086245897
AMAZONAS,CONDORCANQUI,CESAR ACUÑA PERALTA,ALIANZA PARA EL PROGRESO,225,174,150,86.207,13251,260.99968680037586,35.999686800375855
AMAZONAS,CONDORCANQUI,PABLO ALFONSO LOPEZ CHAU NAVA,AHORA NACIÓN - AN,197,174,150,86.207,13251,228.5197257763291,31.519725776329096
AMAZONAS,CONDORCANQUI,MARIO ENRIQUE VIZCARRA CORNEJO,PARTIDO POLÍTICO PERÚ PRIMERO,188,174,150,86.207,13251,218.07973830431405,30.07973830431405
AMAZONAS,CONDORCANQUI,RONALD DARWIN ATENCIO SOTOMAYOR,ALIANZA ELECTORAL VENCEREMOS,160,174,150,86.207,13251,185.5997772802673,25.59977728026729
AMAZONAS,CONDORCANQUI,RAFAEL BERNARDO LÓPEZ ALIAGA CAZORLA,RENOVACIÓN POPULAR,144,174,150,86.207,13251,167.03979955224057,23.039799552240567
AMAZONAS,CONDORCANQUI,HERBERT CALLER GUTIERREZ,PARTIDO PATRIÓTICO DEL PERÚ,132,174,150,86.207,13251,153.1198162562205,21.119816256220503
